SOC,Title,Task
49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",Calibrate testing instruments.
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Note differences in wire and cable colors so that work can be performed correctly.
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Test circuits and components of malfunctioning telecommunications equipment to isolate sources of malfunctions, using test meters, circuit diagrams, polarity probes, and other hand tools."
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Test repaired, newly installed, or updated equipment to ensure that it functions properly and conforms to specifications, using test equipment and observation."
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Drive crew trucks to and from work areas.
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Inspect equipment on a regular basis to ensure proper functioning.
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Repair or replace faulty equipment such as defective and damaged telephones, wires, switching system components, and associated equipment."
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Remove and remake connections to change circuit layouts, following work orders or diagrams."
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Demonstrate equipment to customers and explain how it is to be used, and respond to any inquiries or complaints."
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Analyze test readings, computer printouts, and trouble reports to determine equipment repair needs and required repair methods."
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Adjust or modify equipment to enhance equipment performance or to respond to customer requests.
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Request support from technical service centers when on-site procedures fail to solve installation or maintenance problems.
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Remove loose wires and other debris after work is completed.
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Assemble and install communication equipment such as data and telephone communication lines, wiring, switching equipment, wiring frames, power apparatus, computer systems, and networks."
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Communicate with bases, using telephones or two-way radios to receive instructions or technical advice, or to report equipment status."
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Collaborate with other workers to locate and correct malfunctions.
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Review manufacturer's instructions, manuals, technical specifications, building permits, and ordinances to determine communication equipment requirements and procedures."
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Test connections to ensure that power supplies are adequate and that communications links function.
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Climb poles and ladders, use truck-mounted booms, and enter areas such as manholes and cable vaults to install, maintain, or inspect equipment."
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Refer to manufacturers' manuals to obtain maintenance instructions pertaining to specific malfunctions.
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Designate cables available for use.
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Run wires between components and to outside cable systems, connecting them to wires from telephone poles or underground cable accesses."
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Remove and replace plug-in circuit equipment.
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Route and connect cables and lines to switches, switchboard equipment, and distributing frames, using wire-wrap guns or soldering irons to connect wires to terminals."
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Clean and maintain tools, test equipment, and motor vehicles."
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Program computerized switches and switchboards to provide requested features.
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Diagnose and correct problems from remote locations, using special switchboards to find the sources of problems."
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Maintain computer and manual records pertaining to facilities and equipment.
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Install updated software, and programs that maintain existing software or provide requested features such as time-correlated call routing."
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Enter codes needed to correct electronic switching system programming.
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Perform database verifications, using computers."
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Address special issues or situations, such as illegal or unauthorized use of equipment, or cases of electrical or acoustic shock."
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Examine telephone transmission facilities to determine requirements for new or additional telephone services.
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Determine viability of sites through observation, and discuss site locations and construction requirements with customers."
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Perform routine maintenance on equipment, including adjusting and lubricating components, and painting worn or exposed areas."
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Measure distances from landmarks to identify exact installation sites for equipment.
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Clean switches and replace contact points, using vacuum hoses, solvents, and hand tools."
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Dig holes or trenches as necessary for equipment installation and access.
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Install telephone station equipment, such as intercommunication systems, transmitters, receivers, relays, and ringers, and related apparatus, such as coin collectors, telephone booths, and switching-key equipment."
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Provide input into the design and manufacturing of new equipment.
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Place intercept circuits on terminals to handle vacant lines in central office installations.
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Measure velocity, horsepower, revolutions per minute (rpm), amperage, circuitry, and voltage of units or parts to diagnose problems, using ammeters, voltmeters, wattmeters, and other testing devices."
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Record repairs required, parts used, and labor time."
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Reassemble repaired electric motors to specified requirements and ratings, using hand tools and electrical meters."
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",Maintain stocks of parts.
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Repair and rebuild defective mechanical parts in electric motors, generators, and related equipment, using hand tools and power tools."
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Rewire electrical systems, and repair or replace electrical accessories."
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Inspect electrical connections, wiring, relays, charging resistance boxes, and storage batteries, following wiring diagrams."
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",Read service guides to find information needed to perform repairs.
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Inspect and test equipment to locate damage or worn parts and diagnose malfunctions, or read work orders or schematic drawings to determine required repairs."
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Solder, wrap, and coat wires to ensure proper insulation."
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Assemble electrical parts such as alternators, generators, starting devices, and switches, following schematic drawings and using hand, machine, and power tools."
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",Lubricate moving parts.
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Remove and replace defective parts such as coil leads, carbon brushes, and wires, using soldering equipment."
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Disassemble defective equipment so that repairs can be made, using hand tools."
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Lift units or parts such as motors or generators, using cranes or chain hoists, or signal crane operators to lift heavy parts or subassemblies."
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Weld, braze, or solder electrical connections."
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Reface, ream, and polish commutators and machine parts to specified tolerances, using machine tools."
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Adjust working parts, such as fan belts, contacts, and springs, using hand tools and gauges."
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Clean cells, cell assemblies, glassware, leads, electrical connections, and battery poles, using scrapers, steam, water, emery cloths, power grinders, or acid."
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Scrape and clean units or parts, using cleaning solvents and equipment such as buffing wheels."
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Rewind coils on cores in slots, or make replacement coils, using coil-winding machines."
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Cut and form insulation, and insert insulation into armature, rotor, or stator slots."
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Set machinery for proper performance, using computers."
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",Drain and filter transformer oil and refill transformers with oil until coils are submerged.
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Position and level battery cells, anodes, or cathodes, using hoists or leveling jacks, or signal other workers to perform positioning and leveling."
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Verify and adjust alignments and dimensions of parts, using gauges and tracing lathes."
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Test equipment for overheating, using speed gauges and thermometers."
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",Bolt porcelain insulators to wood parts to assemble hot stools.
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",Pour compounds into transformer-case terminal openings to seal out moisture.
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Test conditions, fluid levels, and specific gravities of electrolyte cells, using voltmeters, hydrometers, and thermometers."
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Clean, rinse, and dry transformer cases, using boiling water, scrapers, solvents, hoses, and cloths."
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Inspect batteries for structural defects such as dented cans, damaged carbon rods and terminals, and defective seals."
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Steam-clean polishing and buffing wheels to remove abrasives and bonding materials, and spray, brush, or recoat surfaces as necessary."
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Test battery charges, and replace or recharge batteries as necessary."
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",Repair and operate battery-charging equipment.
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",Add water or acid to battery cell solutions to obtain specified concentrations.
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Sharpen tools such as saws, picks, shovels, screwdrivers, and scoops, either manually or by using bench grinders and emery wheels."
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Seal joints with putty, mortar, and asbestos, using putty extruders and knives."
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",Hammer out dents and twists in tools and equipment.
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment","Inspect and test electrical systems and equipment to locate and diagnose malfunctions, using visual inspections, testing devices, and computer software."
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",Reassemble and test equipment after repairs.
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment","Splice wires with knives or cutting pliers, and solder connections to fixtures, outlets, and equipment."
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment","Install new fuses, electrical cables, or power sources as required."
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",Locate and remove or repair circuit defects such as blown fuses or malfunctioning transistors.
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment","Adjust, repair, or replace defective wiring and relays in ignition, lighting, air-conditioning, and safety control systems, using electrician's tools."
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",Refer to schematics and manufacturers' specifications that show connections and provide instructions on how to locate problems.
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",Maintain equipment service records.
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment","Cut openings and drill holes for fixtures, outlet boxes, and fuse holders, using electric drills and routers."
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment","Measure, cut, and install frameworks and conduit to support and connect wiring, control panels, and junction boxes, using hand tools."
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment","Install electrical equipment such as air-conditioning, heating, or ignition systems and components such as generator brushes and commutators, using hand tools."
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment","Install fixtures, outlets, terminal boards, switches, and wall boxes, using hand tools."
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment","Repair or rebuild equipment such as starters, generators, distributors, or door controls, using electrician's tools."
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",Confer with customers to determine the nature of malfunctions.
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",Estimate costs of repairs based on parts and labor requirements.
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","Construct, test, maintain, and repair substation relay and control systems."
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","Inspect and test equipment and circuits to identify malfunctions or defects, using wiring diagrams and testing devices such as ohmmeters, voltmeters, or ammeters."
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","Consult manuals, schematics, wiring diagrams, and engineering personnel to troubleshoot and solve equipment problems and to determine optimum equipment functioning."
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",Notify facility personnel of equipment shutdowns.
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","Open and close switches to isolate defective relays, performing adjustments or repairs."
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","Prepare and maintain records detailing tests, repairs, and maintenance."
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","Analyze test data to diagnose malfunctions, to determine performance characteristics of systems, or to evaluate effects of system modifications."
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","Test insulators and bushings of equipment by inducing voltage across insulation, testing current, and calculating insulation loss."
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","Repair, replace, and clean equipment and components such as circuit breakers, brushes, and commutators."
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","Disconnect voltage regulators, bolts, and screws, and connect replacement regulators to high-voltage lines."
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",Schedule and supervise the construction and testing of special devices and the implementation of unique monitoring or control systems.
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","Run signal quality and connectivity tests for individual cables, and record results."
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",Schedule and supervise splicing or termination of cables in color-code order.
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","Test oil in circuit breakers and transformers for dielectric strength, refilling oil periodically."
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","Maintain inventories of spare parts for all equipment, requisitioning parts as necessary."
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",Set forms and pour concrete footings for installation of heavy equipment.
49-2098.00,Security and Fire Alarm Systems Installers,"Examine systems to locate problems, such as loose connections or broken insulation."
49-2098.00,Security and Fire Alarm Systems Installers,"Mount and fasten control panels, door and window contacts, sensors, or video cameras, and attach electrical and telephone wiring to connect components."
49-2098.00,Security and Fire Alarm Systems Installers,"Install, maintain, or repair security systems, alarm devices, or related equipment, following blueprints of electrical layouts and building plans."
49-2098.00,Security and Fire Alarm Systems Installers,"Inspect installation sites and study work orders, building plans, and installation manuals to determine materials requirements and installation procedures."
49-2098.00,Security and Fire Alarm Systems Installers,"Adjust sensitivity of units, based on room structures and manufacturers' recommendations, using programming keypads."
49-2098.00,Security and Fire Alarm Systems Installers,"Test and repair circuits and sensors, following wiring and system specifications."
49-2098.00,Security and Fire Alarm Systems Installers,"Drill holes for wiring in wall studs, joists, ceilings, or floors."
49-2098.00,Security and Fire Alarm Systems Installers,"Demonstrate systems for customers and explain details, such as the causes and consequences of false alarms."
49-2098.00,Security and Fire Alarm Systems Installers,Consult with clients to assess risks and to determine security requirements.
49-2098.00,Security and Fire Alarm Systems Installers,Keep informed of new products and developments.
49-2098.00,Security and Fire Alarm Systems Installers,"Mount raceways and conduits and fasten wires to wood framing, using staplers."
49-2098.00,Security and Fire Alarm Systems Installers,Provide customers with cost estimates for equipment installation.
49-2098.00,Security and Fire Alarm Systems Installers,"Prepare documents, such as invoices or warranties."
49-2098.00,Security and Fire Alarm Systems Installers,Order replacement parts.
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",Turn meters on or off to establish or close service.
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",Turn valves to allow measured amounts of air or gas to pass through meters at specified flow rates.
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",Report hazardous field situations and damaged or missing meters.
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Record meter readings and installation data on meter cards, work orders, or field service orders, or enter data into hand-held computers."
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Connect regulators to test stands, and turn screw adjustments until gauges indicate that inlet and outlet pressures meet specifications."
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Disassemble and repair mechanical control devices or valves, such as regulators, thermostats, or hydrants, using power tools, hand tools, and cutting torches."
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Record maintenance information, including test results, material usage, and repairs made."
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Disconnect or remove defective or unauthorized meters, using hand tools."
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Lubricate wearing surfaces of mechanical parts, using oils or other lubricants."
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Test valves and regulators for leaks and accurate temperature and pressure settings, using precision testing equipment."
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Install regulators and related equipment such as gas meters, odorization units, and gas pressure telemetering equipment."
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Shut off service and notify repair crews when major repairs are required, such as the replacement of underground pipes or wiring."
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Examine valves or mechanical control device parts for defects, dents, or loose attachments, and mark malfunctioning areas of defective units."
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Attach air hoses to meter inlets, plug outlets, and observe gauges for pressure losses to test internal seams for leaks."
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Dismantle meters, and replace or adjust defective parts such as cases, shafts, gears, disks, and recording mechanisms, using soldering irons and hand tools."
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",Advise customers on proper installation of valves or regulators and related equipment.
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Connect hoses from provers to meter inlets and outlets, and raise prover bells until prover gauges register zero."
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Make adjustments to meter components, such as setscrews or timing mechanisms, so that they conform to specifications."
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Replace defective parts, such as bellows, range springs, and toggle switches, and reassemble units according to blueprints, using cam presses and hand tools."
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",Investigate instances of illegal tapping into service lines.
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Install, inspect and test electric meters, relays, and power sources to detect causes of malfunctions and inaccuracies, using hand tools and testing equipment."
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",Trace and tag meters or house lines.
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Mount and install meters and other electric equipment such as time clocks, transformers, and circuit breakers, using electricians' hand tools."
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",Vary air pressure flowing into regulators and turn handles to assess functioning of valves and pistons.
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Attach pressurized meters to fixtures which submerge them in water, and observe meters for leaks."
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Measure tolerances of assembled and salvageable parts for conformance to standards or specifications, using gauges, micrometers, and calipers."
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Repair leaks in valve seats or bellows of automotive heater thermostats, using soft solder, flux, and acetylene torches."
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Clean internal compartments and moving parts, using rags and cleaning compounds."
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Repair electric meters and components, such as transformers and relays, and replace metering devices, dial glasses, and faulty or incorrect wiring, using hand tools."
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Recondition displacement type gas meters and governors, fabricating, machining, or modifying parts needed for repairs."
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Cut seats to receive new orifices, tap inspection ports, and perform other repairs to salvage usable materials, using hand tools and machine tools."
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Reassemble repaired equipment, and solder top, front, and back case panels in place, using soldering guns, power tools, and hand tools."
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",Calibrate thermostats for specified temperature or pressure settings.
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",Collect money due on delinquent accounts.
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Recommend and write up specifications for changes in hardware, such as house wiring."
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Splice and connect cables from meters or current transformers to pull boxes or switchboards, using hand tools."
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Clean plant growth, scale, paint, soil, or rust from meter housings, using wire brushes, scrapers, buffers, sandblasters, or cleaning compounds."
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Clamp regulator units into vises on stages above water tanks, and attach compressed air hoses to intake ports."
49-9041.00,Industrial Machinery Mechanics,Disassemble machinery or equipment to remove parts and make repairs.
49-9041.00,Industrial Machinery Mechanics,Repair or replace broken or malfunctioning components of machinery or equipment.
49-9041.00,Industrial Machinery Mechanics,Repair or maintain the operating condition of industrial production or processing machinery or equipment.
49-9041.00,Industrial Machinery Mechanics,"Examine parts for defects, such as breakage or excessive wear."
49-9041.00,Industrial Machinery Mechanics,"Reassemble equipment after completion of inspections, testing, or repairs."
49-9041.00,Industrial Machinery Mechanics,"Observe and test the operation of machinery or equipment to diagnose malfunctions, using voltmeters or other testing devices."
49-9041.00,Industrial Machinery Mechanics,Operate newly repaired machinery or equipment to verify the adequacy of repairs.
49-9041.00,Industrial Machinery Mechanics,"Clean, lubricate, or adjust parts, equipment, or machinery."
49-9041.00,Industrial Machinery Mechanics,"Analyze test results, machine error messages, or information obtained from operators to diagnose equipment problems."
49-9041.00,Industrial Machinery Mechanics,Record repairs and maintenance performed.
49-9041.00,Industrial Machinery Mechanics,Study blueprints or manufacturers' manuals to determine correct installation or operation of machinery.
49-9041.00,Industrial Machinery Mechanics,"Record parts or materials used and order or requisition new parts or materials, as necessary."
49-9041.00,Industrial Machinery Mechanics,"Cut and weld metal to repair broken metal parts, fabricate new parts, or assemble new equipment."
49-9041.00,Industrial Machinery Mechanics,Demonstrate equipment functions and features to machine operators.
49-9041.00,Industrial Machinery Mechanics,Enter codes and instructions to program computer-controlled machinery.
49-9043.00,"Maintenance Workers, Machinery",Reassemble machines after the completion of repair or maintenance work.
49-9043.00,"Maintenance Workers, Machinery",Start machines and observe mechanical operation to determine efficiency and to detect problems.
49-9043.00,"Maintenance Workers, Machinery","Inspect or test damaged machine parts, and mark defective areas or advise supervisors of repair needs."
49-9043.00,"Maintenance Workers, Machinery","Lubricate or apply adhesives or other materials to machines, machine parts, or other equipment according to specified procedures."
49-9043.00,"Maintenance Workers, Machinery","Install, replace, or change machine parts and attachments, according to production specifications."
49-9043.00,"Maintenance Workers, Machinery","Dismantle machines and remove parts for repair, using hand tools, chain falls, jacks, cranes, or hoists."
49-9043.00,"Maintenance Workers, Machinery","Record production, repair, and machine maintenance information."
49-9043.00,"Maintenance Workers, Machinery",Read work orders and specifications to determine machines and equipment requiring repair or maintenance.
49-9043.00,"Maintenance Workers, Machinery","Set up and operate machines, and adjust controls to regulate operations."
49-9043.00,"Maintenance Workers, Machinery","Collaborate with other workers to repair or move machines, machine parts, or equipment."
49-9043.00,"Maintenance Workers, Machinery","Inventory and requisition machine parts, equipment, and other supplies so that stock can be maintained and replenished."
49-9043.00,"Maintenance Workers, Machinery","Transport machine parts, tools, equipment, and other material between work areas and storage, using cranes, hoists, or dollies."
49-9043.00,"Maintenance Workers, Machinery",Collect and discard worn machine parts and other refuse to maintain machinery and work areas.
49-9043.00,"Maintenance Workers, Machinery","Clean machines and machine parts, using cleaning solvents, cloths, air guns, hoses, vacuums, or other equipment."
49-9043.00,"Maintenance Workers, Machinery","Replace or repair metal, wood, leather, glass, or other lining in machines, or in equipment compartments or containers."
49-9043.00,"Maintenance Workers, Machinery","Remove hardened material from machines or machine parts, using abrasives, power and hand tools, jackhammers, sledgehammers, or other equipment."
49-9043.00,"Maintenance Workers, Machinery","Measure, mix, prepare, and test chemical solutions used to clean or repair machinery and equipment."
49-9043.00,"Maintenance Workers, Machinery","Replace, empty, or replenish machine and equipment containers such as gas tanks or boxes."
49-9052.00,Telecommunications Line Installers and Repairers,"Travel to customers' premises to install, maintain, or repair audio and visual electronic reception equipment or accessories."
49-9052.00,Telecommunications Line Installers and Repairers,"Inspect or test lines or cables, recording and analyzing test results, to assess transmission characteristics and locate faults or malfunctions."
49-9052.00,Telecommunications Line Installers and Repairers,"Splice cables, using hand tools, epoxy, or mechanical equipment."
49-9052.00,Telecommunications Line Installers and Repairers,"Measure signal strength at utility poles, using electronic test equipment."
49-9052.00,Telecommunications Line Installers and Repairers,"Set up service for customers, installing, connecting, testing, or adjusting equipment."
49-9052.00,Telecommunications Line Installers and Repairers,Place insulation over conductors or seal splices with moisture-proof covering.
49-9052.00,Telecommunications Line Installers and Repairers,"Access specific areas to string lines or install terminal boxes, auxiliary equipment, or appliances, using bucket trucks, or by climbing poles or ladders, or entering tunnels, trenches, or crawl spaces."
49-9052.00,Telecommunications Line Installers and Repairers,"String cables between structures and lines from poles, towers, or trenches and pull lines to proper tension."
49-9052.00,Telecommunications Line Installers and Repairers,Install equipment such as amplifiers or repeaters to maintain the strength of communications transmissions.
49-9052.00,Telecommunications Line Installers and Repairers,Lay underground cable directly in trenches or string it through conduits running through trenches.
49-9052.00,Telecommunications Line Installers and Repairers,Clean or maintain tools or test equipment.
49-9052.00,Telecommunications Line Installers and Repairers,Explain cable service to subscribers after installation and collect any installation fees that are due.
49-9052.00,Telecommunications Line Installers and Repairers,Compute impedance of wires from poles to houses to determine additional resistance needed for reducing signals to desired levels.
49-9052.00,Telecommunications Line Installers and Repairers,"Use a variety of construction equipment to complete installations, such as digger derricks, trenchers, or cable plows."
49-9052.00,Telecommunications Line Installers and Repairers,Dig trenches for underground wires or cables.
49-9052.00,Telecommunications Line Installers and Repairers,"Dig holes for power poles, using power augers or shovels, set poles in place with cranes, and hoist poles upright, using winches."
49-9052.00,Telecommunications Line Installers and Repairers,"Fill and tamp holes, using cement, earth, and tamping devices."
49-9052.00,Telecommunications Line Installers and Repairers,Participate in the construction or removal of telecommunication towers or associated support structures.
49-9063.00,Musical Instrument Repairers and Tuners,Play instruments to evaluate their sound quality and to locate any defects.
49-9063.00,Musical Instrument Repairers and Tuners,"Adjust string tensions to tune instruments, using hand tools and electronic tuning devices."
49-9063.00,Musical Instrument Repairers and Tuners,Disassemble instruments and parts for repair and adjustment.
49-9063.00,Musical Instrument Repairers and Tuners,"Inspect instruments to locate defects, and to determine their value or the level of restoration required."
49-9063.00,Musical Instrument Repairers and Tuners,"Repair cracks in wood or metal instruments, using pinning wire, lathes, fillers, clamps, or soldering irons."
49-9063.00,Musical Instrument Repairers and Tuners,"Reassemble instruments following repair, using hand tools and power tools and glue, hair, yarn, resin, or clamps, and lubricate instruments as necessary."
49-9063.00,Musical Instrument Repairers and Tuners,Compare instrument pitches with tuning tool pitches to tune instruments.
49-9063.00,Musical Instrument Repairers and Tuners,"String instruments, and adjust trusses and bridges of instruments to obtain specified string tensions and heights."
49-9063.00,Musical Instrument Repairers and Tuners,"Repair or replace musical instrument parts and components, such as strings, bridges, felts, and keys, using hand and power tools."
